Género,Cat. Ingresos,Nº Depend.,Antigüedad,Ct. Prod.,Meses inact.,Contactos,Ct Trans.,% var ct tr Q4/Q3,$ Tot. Trans.,% var $ tr Q4/Q3,Predicción
F,Unknown,2,41,3,5,2,59,"0,74 %",$4369,"0,60 %",Existente 😀
M,$60K - $80K,1,45,1,5,1,128,"0,73 %",$15798,"0,75 %",Existente 😀
M,$120K +,1,44,1,6,3,107,"0,75 %",$13247,"0,73 %",Existente 😀
M,$80K - $120K,4,30,2,5,3,15,"0,36 %",$647,"1,09 %",Perdido 😞
F,Less than $40K,3,44,5,5,3,69,"0,61 %",$4219,"0,67 %",Existente 😀
F,Less than $40K,2,36,4,6,1,73,"1,15 %",$3534,"0,92 %",Existente 😀
F,Unknown,0,56,3,6,3,32,"0,46 %",$1616,"1,02 %",Perdido 😞
F,Less than $40K,5,36,1,6,1,81,"0,76 %",$4498,"0,73 %",Existente 😀
M,$80K - $120K,4,32,4,6,3,71,"0,51 %",$3063,"0,82 %",Existente 😀
F,Less than $40K,1,48,1,5,2,45,"0,73 %",$2220,"0,60 %",Perdido 😞
M,$80K - $120K,4,36,6,5,1,80,"0,67 %",$4544,"0,72 %",Existente 😀
M,$120K +,4,38,6,6,2,58,"0,71 %",$2244,"1,13 %",Existente 😀
F,Less than $40K,1,42,1,5,3,48,"0,46 %",$2253,"0,62 %",Perdido 😞
M,$60K - $80K,4,36,4,6,2,77,"0,51 %",$3830,"0,81 %",Existente 😀
M,$40K - $60K,2,40,2,6,4,46,"0,59 %",$1920,"0,59 %",Perdido 😞
F,Less than $40K,2,36,6,5,4,64,"0,68 %",$4803,"0,89 %",Existente 😀
M,$40K - $60K,4,36,4,5,3,79,"0,76 %",$4527,"0,66 %",Existente 😀
M,$60K - $80K,0,46,4,5,6,45,"0,55 %",$2281,"0,59 %",Perdido 😞
F,$40K - $60K,3,36,1,6,2,81,"0,80 %",$5033,"0,58 %",Existente 😀
F,Less than $40K,4,35,2,5,3,80,"0,91 %",$5064,"1,00 %",Existente 😀
M,$80K - $120K,3,23,5,6,1,51,"0,55 %",$2028,"0,90 %",Existente 😀
M,Less than $40K,3,33,6,5,0,37,"0,85 %",$1248,"0,82 %",Existente 😀
F,Less than $40K,4,21,4,6,0,87,"0,58 %",$5033,"0,82 %",Existente 😀
M,$80K - $120K,1,36,3,6,0,17,"3,25 %",$1539,"3,40 %",Existente 😀
M,$120K +,3,40,3,5,3,74,"0,81 %",$3847,"0,92 %",Existente 😀
M,$80K - $120K,1,54,2,5,4,58,"0,76 %",$8660,"0,98 %",Perdido 😞
F,Less than $40K,3,31,5,6,1,73,"0,78 %",$4290,"0,77 %",Existente 😀
M,$80K - $120K,2,31,1,5,3,103,"0,72 %",$8888,"0,89 %",Existente 😀
F,Unknown,2,45,6,6,2,81,"0,69 %",$5074,"0,65 %",Existente 😀
F,Unknown,4,36,3,6,3,88,"0,91 %",$4826,"0,66 %",Existente 😀
M,$40K - $60K,1,27,5,6,0,78,"0,50 %",$3201,"0,52 %",Existente 😀
M,$60K - $80K,5,36,3,5,1,80,"0,63 %",$4278,"0,80 %",Existente 😀
M,$40K - $60K,3,34,3,6,1,88,"0,52 %",$7745,"0,81 %",Existente 😀
F,Less than $40K,0,54,6,5,2,62,"0,77 %",$5103,"0,64 %",Existente 😀
M,$80K - $120K,1,36,4,5,3,105,"0,69 %",$16019,"0,73 %",Existente 😀
M,$40K - $60K,2,49,3,5,3,81,"0,76 %",$4774,"0,81 %",Existente 😀
M,$60K - $80K,3,36,2,5,1,99,"0,71 %",$8591,"0,83 %",Existente 😀
F,Unknown,4,36,6,5,1,60,"0,71 %",$4575,"0,80 %",Existente 😀
F,Less than $40K,2,51,3,5,2,38,"0,36 %",$1690,"0,24 %",Perdido 😞
F,Less than $40K,5,36,5,6,1,87,"0,71 %",$4237,"0,67 %",Existente 😀
F,Less than $40K,1,36,3,5,3,74,"0,72 %",$4351,"0,66 %",Existente 😀
F,Less than $40K,1,47,6,6,1,70,"0,59 %",$4256,"0,76 %",Existente 😀
F,Less than $40K,3,35,6,5,1,82,"0,75 %",$7307,"0,74 %",Existente 😀
M,$80K - $120K,4,37,5,6,3,35,"0,21 %",$1511,"0,61 %",Existente 😀
